step,label,p1,p2,r1,r2,demand_shock,c1,c2,train_mode
0,eval,10.0,2.0,1.2114596481347548e-07,0.13162115126226734,0.0,0.96904314,0.89582276,False
1,eval,10.0,2.0,1.2192086033771767e-07,0.13221787580075167,0.0,0.9112777,0.8908168,False
2,eval,10.0,2.0,1.2231690545247343e-07,0.130414763893386,0.0,0.8817541,0.9059432,False
3,eval,10.0,2.0,1.2281543596795465e-07,0.12682014262159452,0.0,0.8445906,0.9360987,False
4,eval,10.0,2.0,1.2224596380053107e-07,0.11458714037666369,0.0,0.8870425,1.038722,False
5,eval,10.0,2.0,1.2134121526933423e-07,0.11843176696286052,0.0,0.954488,1.0064692,False
6,eval,10.0,2.0,1.2188644534100984e-07,0.12484322703670639,0.0,0.9138432,0.95268315,False
7,eval,10.0,2.0,1.2077984991970772e-07,0.1290324697528547,0.0,0.99633557,0.91753936,False
8,eval,10.0,2.0,1.2054771060440672e-07,0.1285163519808446,0.0,1.0136406,0.9218691,False
9,eval,10.0,2.0,1.1971712438420015e-07,0.12228489829118777,0.0,1.0755576,0.9741451,False
10,eval,10.0,2.0,1.1939632179651552e-07,0.12506259538530856,0.0,1.0994722,0.95084286,False
11,eval,10.0,2.0,1.1991874339748604e-07,0.12100095932635525,0.0,1.0605277,0.98491615,False
12,eval,10.0,2.0,1.21087208574614e-07,0.13018777182857166,0.0,0.9734232,0.90784746,False
13,eval,10.0,2.0,1.2165950881330183e-07,0.13290615598425906,0.0,0.93076044,0.8850428,False
14,eval,10.0,2.0,1.2194549901908827e-07,0.12972170201275765,0.0,0.909441,0.91175735,False
15,eval,10.0,2.0,1.2178115585605375e-07,0.11751359585506575,0.0,0.92169213,1.0141718,False
16,eval,10.0,2.0,1.2141311240478263e-07,0.11802655188083688,0.0,0.9491283,1.0098686,False
17,eval,10.0,2.0,1.2146241775239635e-07,0.11872384126486339,0.0,0.9454528,1.004019,False
18,eval,10.0,2.0,1.2022006211732583e-07,0.12188410254885096,0.0,1.0380656,0.9775074,False
19,eval,10.0,2.0,1.2107668626253102e-07,0.12550605693925207,0.0,0.9742076,0.94712263,False
20,eval,10.0,2.0,1.2061041111116373e-07,0.13302026305077086,0.0,1.0089666,0.88408554,False
21,eval,10.0,2.0,1.2136739551739905e-07,0.12905242072687492,0.0,0.95253634,0.917372,False
22,eval,10.0,2.0,1.2131135461074377e-07,0.13522449753266882,0.0,0.956714,0.8655941,False
23,eval,10.0,2.0,1.2073521564710833e-07,0.14268161458569306,0.0,0.9996629,0.8030359,False
24,eval,10.0,2.0,1.2060741912850305e-07,0.14690943771100445,0.0,1.0091896,0.76756847,False
25,eval,10.0,2.0,1.2074332886144768e-07,0.14912524631565133,0.0,0.99905807,0.7489799,False
26,eval,10.0,2.0,1.1990855370560265e-07,0.15268751120008947,0.0,1.0612873,0.7190959,False
27,eval,10.0,2.0,1.1945852657124433e-07,0.1407951888886688,0.0,1.094835,0.81886125,False
28,eval,10.0,2.0,1.1984263094066215e-07,0.1394571947207216,0.0,1.0662016,0.83008575,False
29,eval,10.0,2.0,1.2014988565175607e-07,0.15344495902322902,0.0,1.0432969,0.7127416,False
30,eval,10.0,2.0,1.1968443325564207e-07,0.1514785020685965,0.0,1.0779946,0.72923833,False
31,eval,10.0,2.0,1.1873357764798138e-07,0.15000509279600124,0.0,1.1488771,0.74159884,False
32,eval,10.0,2.0,1.1879678508071565e-07,0.15601676604428766,0.0,1.1441653,0.6911666,False
33,eval,10.0,2.0,1.1926454662859982e-07,0.15429566770284636,0.0,1.1092955,0.705605,False
34,eval,10.0,2.0,1.194380848211901e-07,0.14489296122036677,0.0,1.0963589,0.7844848,False
35,eval,10.0,2.0,1.2054043133926967e-07,0.14991247849886669,0.0,1.0141833,0.7423758,False
36,eval,10.0,2.0,1.2012881224314976e-07,0.1445960199606702,0.0,1.0448679,0.78697586,False
37,eval,10.0,2.0,1.1995832360210085e-07,0.14014863665046798,0.0,1.0575771,0.8242852,False
38,eval,10.0,2.0,1.1984744753701381e-07,0.13083612874889541,0.0,1.0658425,0.90240836,False
39,eval,10.0,2.0,1.1978169428044425e-07,0.12550695928031352,0.0,1.0707442,0.94711506,False
40,eval,10.0,2.0,1.185309255931141e-07,0.12398641512109067,0.0,1.1639841,0.959871,False
41,eval,10.0,2.0,1.1829195716934042e-07,0.10712691131273458,0.0,1.1817982,1.1013063,False
42,eval,10.0,2.0,1.1847571063998328e-07,0.11421089967927486,0.0,1.1681001,1.0418783,False
43,eval,10.0,2.0,1.195630956456239e-07,0.1155047857109266,0.0,1.0870398,1.0310239,False
44,eval,10.0,2.0,1.1967320412563499e-07,0.12405936975116184,0.0,1.0788317,0.959259,False
45,eval,10.0,2.0,1.1860341760699637e-07,0.13031483850213932,0.0,1.1585801,0.9067815,False
46,eval,10.0,2.0,1.18932267044894e-07,0.12089337469365778,0.0,1.1340656,0.9858187,False
47,eval,10.0,2.0,1.1932795075500983e-07,0.12308764079359336,0.0,1.104569,0.96741086,False
48,eval,10.0,2.0,1.1935781621100702e-07,0.12358948452471788,0.0,1.1023426,0.96320087,False
49,eval,10.0,2.0,1.1857180749408693e-07,0.1355281956927547,0.0,1.1609365,0.86304635,False
50,eval,10.0,2.0,1.1854727355609651e-07,0.13697853487537714,0.0,1.1627654,0.8508794,False
51,eval,10.0,2.0,1.1933552426109264e-07,0.1262260043204832,0.0,1.1040044,0.94108295,False
52,eval,10.0,2.0,1.1981034919081125e-07,0.12307541300645346,0.0,1.068608,0.96751344,False
53,eval,10.0,2.0,1.1991003130687387e-07,0.1198650966612221,0.0,1.0611771,0.99444497,False
54,eval,10.0,2.0,1.1817091539940359e-07,0.1119773142452125,0.0,1.1908214,1.060616,False
55,eval,10.0,2.0,1.1895093855186676e-07,0.1097351174933038,0.0,1.1326737,1.0794259,False
56,eval,10.0,2.0,1.1901128992846423e-07,0.10193602028303515,0.0,1.1281748,1.144853,False
57,eval,10.0,2.0,1.1850398655521901e-07,0.10121359324014695,0.0,1.1659923,1.1509135,False
58,eval,10.0,2.0,1.1953202604053876e-07,0.10866334946372498,0.0,1.089356,1.088417,False
59,eval,10.0,2.0,1.2024101878903516e-07,0.10769767400682076,0.0,1.0365033,1.0965182,False
60,eval,10.0,2.0,1.2007323268710787e-07,0.11391376658328964,0.0,1.0490111,1.044371,False
61,eval,10.0,2.0,1.1939808084564794e-07,0.12363794805527062,0.0,1.099341,0.9627943,False
62,eval,10.0,2.0,1.1861941695842344e-07,0.12163390539815695,0.0,1.1573874,0.97960633,False
63,eval,10.0,2.0,1.1846559930574307e-07,0.1268081421959819,0.0,1.1688539,0.93619937,False
64,eval,10.0,2.0,1.1788360030979334e-07,0.12536004110339383,0.0,1.2122396,0.94834757,False
65,eval,10.0,2.0,1.1884521010419537e-07,0.1284561224912543,0.0,1.1405554,0.92237437,False
66,eval,10.0,2.0,1.1875017827438462e-07,0.1348880664177,0.0,1.1476396,0.8684164,False
67,eval,10.0,2.0,1.1861433330643076e-07,0.145353226212187,0.0,1.1577663,0.7806236,False
68,eval,10.0,2.0,1.1897298263576703e-07,0.14152305129306894,0.0,1.1310304,0.81275517,False
69,eval,10.0,2.0,1.1977441341617165e-07,0.13968388126848363,0.0,1.0712869,0.82818407,False
70,eval,10.0,2.0,1.1956160045386135e-07,0.13137011571594143,0.0,1.0871513,0.8979287,False
71,eval,10.0,2.0,1.1969341879843755e-07,0.13358313914187894,0.0,1.0773247,0.87936354,False
72,eval,10.0,2.0,1.1847832842491942e-07,0.13380197461190152,0.0,1.167905,0.8775277,False
73,eval,10.0,2.0,1.1926428916777228e-07,0.1280280859959283,0.0,1.1093147,0.9259652,False
74,eval,10.0,2.0,1.2040441206553815e-07,0.13087764354277015,0.0,1.024323,0.9020601,False
75,eval,10.0,2.0,1.1923984318223846e-07,0.1366657422541994,0.0,1.111137,0.8535034,False
76,eval,10.0,2.0,1.1938712356868858e-07,0.13377907504307418,0.0,1.1001579,0.8777198,False
77,eval,10.0,2.0,1.2000631685897535e-07,0.13378896526951156,0.0,1.0539994,0.87763685,False
78,eval,10.0,2.0,1.1985095284219402e-07,0.1298578205171308,0.0,1.0655812,0.91061544,False
79,eval,10.0,2.0,1.188746597849431e-07,0.1326877041868138,0.0,1.13836,0.8868754,False
80,eval,10.0,2.0,1.1991643904312256e-07,0.12035753330915475,0.0,1.0606995,0.9903139,False
81,eval,10.0,2.0,1.1995801976634163e-07,0.13030504774637014,0.0,1.0575998,0.90686363,False
82,eval,10.0,2.0,1.1903922362868692e-07,0.13206675143557697,0.0,1.1260924,0.8920846,False
83,eval,10.0,2.0,1.1950248840733444e-07,0.11776723184886011,0.0,1.0915579,1.0120441,False
84,eval,10.0,2.0,1.1900274094968071e-07,0.1092987112517542,0.0,1.1288121,1.083087,False
85,eval,10.0,2.0,1.1869513282962473e-07,0.10981082888189342,0.0,1.151743,1.0787908,False
86,eval,10.0,2.0,1.1752355173682902e-07,0.11467795709672307,0.0,1.2390798,1.0379602,False
87,eval,10.0,2.0,1.1870618285644743e-07,0.10920981289458138,0.0,1.1509193,1.0838327,False
88,eval,10.0,2.0,1.1750380401161435e-07,0.10834119238964172,0.0,1.240552,1.0911196,False
89,eval,10.0,2.0,1.176166694013566e-07,0.12067328873523507,0.0,1.2321383,0.987665,False
90,eval,10.0,2.0,1.1844806318502849e-07,0.13476230707291428,0.0,1.1701611,0.86947143,False
91,eval,10.0,2.0,1.1721879327636756e-07,0.1343673801000008,0.0,1.2617984,0.8727845,False
92,eval,10.0,2.0,1.1729501607354611e-07,0.13314838127140224,0.0,1.2561163,0.88301075,False
93,eval,10.0,2.0,1.1668094321537023e-07,0.13277006590007684,0.0,1.301893,0.88618445,False
94,eval,10.0,2.0,1.1597088064517421e-07,0.13542384385677347,0.0,1.3548254,0.86392176,False
95,eval,10.0,2.0,1.1635354579257462e-07,0.13186324865855142,0.0,1.3262992,0.8937918,False
96,eval,10.0,2.0,1.1623123270985573e-07,0.1356921872993648,0.0,1.3354172,0.8616706,False
97,eval,10.0,2.0,1.1724627602035813e-07,0.13068344837826829,0.0,1.2597497,0.9036892,False
98,eval,10.0,2.0,1.1772454069069838e-07,0.13616498559537726,0.0,1.2240969,0.8577043,False
99,eval,10.0,2.0,1.1734507221531225e-07,0.13916583802853927,0.0,1.2523848,0.83252996,False
